latitude,longitude,address,name,type,civic,city,closingDay
44.859392,7.7230191999999995,,,Trattoria Centrostorico,,,
44.859392,7.7230191999999995,,,Agriturismo B&B La Benvenuta,,,
44.859392,7.7230191999999995,,,Locanda del Borgo Ternavasso,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria Il Capriccio,,,
44.859392,7.7230191999999995,,,Osteria della Bistecca,,,
44.859392,7.7230191999999995,,,Wyndham Garden Florence,,,
44.859392,7.7230191999999995,,,Il Giardinetto,,,
44.859392,7.7230191999999995,,,La Gasthaus Osteria,,,
44.859392,7.7230191999999995,,,BergHotel,,,
44.859392,7.7230191999999995,,,B&B Giardino Jappelli ( Villa Ca' Minotto ),,,
44.859392,7.7230191999999995,,,Ristorante Al Porto,,,
44.859392,7.7230191999999995,,,Ristorante L'artista del gusto,,,
44.859392,7.7230191999999995,,,L`Agristorante,,,
44.859392,7.7230191999999995,,,Ristorante Amelia Romana,,,
44.859392,7.7230191999999995,,,Novotel Venezia Mestre Castellana,,,
44.859392,7.7230191999999995,,,Vecio Foghero S.n.c.,,,
44.859392,7.7230191999999995,,,Stellina,,,
44.859392,7.7230191999999995,,,Hosteria Romana Nonna Stefania,,,
44.859392,7.7230191999999995,,,Trattoria - Pizzeria Da Jacopo,,,
44.859392,7.7230191999999995,,,Ristorante Da Mauro,,,
44.859392,7.7230191999999995,,,Al Solito Posto,,,
44.859392,7.7230191999999995,,,Ristorante Italia,,,
44.859392,7.7230191999999995,,,Trattoria Da Ennio,,,
44.859392,7.7230191999999995,,,Bar Trattoria Al Furnason,,,
44.859392,7.7230191999999995,,,Antica Sardegna,,,
44.859392,7.7230191999999995,,,Hotel Villa delle Rose,,,
44.859392,7.7230191999999995,,,Bed & Breakfast Elisir,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria MaMa,,,
44.859392,7.7230191999999995,,,Hotel Villa Ducale,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria Vecchi Sapori - Cucina Tipica Lucchese,,,
44.859392,7.7230191999999995,,,Borgo Tabari Locazione Turistica,,,
44.859392,7.7230191999999995,,,Montresor Hotel Tower,,,
44.859392,7.7230191999999995,,,La Tavernetta del Lupo,,,
44.859392,7.7230191999999995,,,Birrificio Brasseria Soralamà,,,
44.859392,7.7230191999999995,,,Hotel Il Castello,,,
44.859392,7.7230191999999995,,,Hotel Piccolo Principe,,,
44.859392,7.7230191999999995,,,Albergo Quattro Pini,,,
44.859392,7.7230191999999995,,,Le Tre Botti,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria La Colomba,,,
44.859392,7.7230191999999995,,,Hotel Giglio Rosso,,,
44.859392,7.7230191999999995,,,Trattoria sociale di Prosecco,,,
44.859392,7.7230191999999995,,,L'Oste del Re,,,
44.859392,7.7230191999999995,,,Scacco Matto Di Lamincia Vittor Ugo E C. S.N.C.,,,
44.859392,7.7230191999999995,,,La Strambata,,,
44.859392,7.7230191999999995,,,Hotel Master,,,
44.859392,7.7230191999999995,,,Hotel Leon D'Oro,,,
44.859392,7.7230191999999995,,,Villa Lagarina,,,
44.859392,7.7230191999999995,,,Center Hotel,,,
44.859392,7.7230191999999995,,,Pizzeria Trattoria Leban/Picerija gostilna Leban,,,
44.859392,7.7230191999999995,,,Fraschetta Franchino - Roma,,,
44.859392,7.7230191999999995,,,Hotel Belvedere,,,
44.859392,7.7230191999999995,,,Romoli Hotel,,,
44.859392,7.7230191999999995,,,La Taverna Dei Mercanti,,,
44.859392,7.7230191999999995,,,Cantina Torino,,,
44.859392,7.7230191999999995,,,La Piola di Alfredo,,,
44.859392,7.7230191999999995,,,Taverna delle Rose,,,
44.859392,7.7230191999999995,,,Osteria del Frate,,,
44.859392,7.7230191999999995,,,Trattoria San Marchese,,,
44.859392,7.7230191999999995,,,Hotel Alla Nave,,,
44.859392,7.7230191999999995,,,Ristorante La Rocca,,,
44.859392,7.7230191999999995,,,La Rosa Dei Venti,,,
44.859392,7.7230191999999995,,,Trattoria Pizzeria da Gabriele,,,
44.859392,7.7230191999999995,,,Pizzería Ristorante Ae Oche Mestre,,,
44.859392,7.7230191999999995,,,Hotel Airmotel,,,
44.859392,7.7230191999999995,,,Feudo San Giorio,,,
44.859392,7.7230191999999995,,,Osteria de' Bengodi,,,
44.859392,7.7230191999999995,,,Hotel Centova,,,
44.859392,7.7230191999999995,,,Hotel Ristorante La Torretta,,,
44.859392,7.7230191999999995,,,Il girasole,,,
44.859392,7.7230191999999995,,,Oliveto ristorante pizzeria Bed and Breakfast,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria Gulliver,,,
44.859392,7.7230191999999995,,,Ristorante Cascina Fossandere,,,
44.859392,7.7230191999999995,,,Best Western Hotel Tre Torri,,,
